Field,FieldRef,FieldSize,Action,Date,Category,Type,Description,Crop,Operator,Area_Hctrs,QtyPerHctr,CostPerHctr,TotalQty,UoM,Total,Comment,Weather,WindSpeed,TimeIn,TimeOut,GrowthStage
Near Broad Meadow (Part B),#1607,0.2,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Far Broad Meadow (Part A),#1608,5.84,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Far Broad Meadow (Part B),#1609,0.26,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Tibberton Ancellor (Part C) ",#1971,0.11,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Tibberton Ancellor (Part D) ",#1972,0.12,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R6 wildlife strips 6m,,,,,,,,,,,,,
"Tibberton Ancellor (Part E) ",#1973,0.13,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Tibberton Ancellor (Part B) ",#1970,0.55,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.55,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton Ancellor (Part C) ",#1971,0.11,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.11,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton Ancellor (Part D) ",#1972,0.12,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.12,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton Ancellor (Part E) ",#1973,0.13,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.13,0.00,0.00,0.00,Hctr,0.00,,,,,,
Birds Nest (Part A),#1614,8.16,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Swans Leasow (Part D) ",#1959,0.39,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Swans Leasow (Part C) ",#1958,1.26,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,NIAB/CERC Trials,,,,,,,,,,,,,
"Swans Leasow (Part B) ",#1957,4.49,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,4.49,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Swans Leasow (Part D) ",#1959,0.39,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.39,0.00,0.00,0.00,Hctr,0.00,,,,,,
Crabtree Leasow (Part A),#1622,9.54,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Maize and CERC Trials,,,,,,,,,,,,,
Crabtree Leasow (Part B),#1623,0.8,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
Crabtree Leasow (Part B),#1623,0.8,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.80,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Buttery Hill (Part B) ",#2173,0.86,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,NIAB Trials,,,,,,,,,,,,,
"Buttery Hill (Part E) ",#2176,0.42,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,WM2 Pollen & Nectar Mix,,,,,,,,,,,,,
"Buttery Hill (Part D) ",#2175,0.42,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,WM1 wild bird seed mix,,,,,,,,,,,,,
"Buttery Hill (Part B) ",#2173,0.86,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.86,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Horse Foxhole (Part B) ",#1954,1.38,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Horse Foxhole (Part C) ",#1955,0.13,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R8 beetle bank 2m,,,,,,,,,,,,,
"Horse Foxhole (Part C) ",#1955,0.13,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.13,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Bayley Hills N (B) ",#1979,1.33,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Bayley Hills N (B) ",#1979,1.33,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,1.33,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Bayley Hills (S) (Part C) ",#1950,2.84,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
"Bayley Hills (S) (Part D) ",#1951,0.39,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,WM1 wild bird seed mix,,,,,,,,,,,,,
"Bayley Hills (S) (Part E) ",#1952,0.21,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Tibberton 3 (Part B) ",#1963,0.2,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Tibberton 3 (Part B) ",#1963,0.2,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.20,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 5 (Part B) ",#1965,0.1,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Tibberton 5 (Part C) ",#1966,0.02,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,6 metre buffer strip,,,,,,,,,,,,,
"Tibberton 5 (Part B) ",#1965,0.1,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.10,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 5 (Part C) ",#1966,0.02,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.02,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 7 (Part B) ",#1968,0.12,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Tibberton 7 (Part B) ",#1968,0.12,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.12,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Brookside (Part B) ",#1931,1.4,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
"Adney Brookside (Part C) ",#1932,0.34,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Adney Brookside (Part D) ",#1933,0.17,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,4 metre buffer strip,,,,,,,,,,,,,
"Adney Brookside (Part B) ",#1931,1.4,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,1.40,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Brookside (Part C) ",#1932,0.34,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.34,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Brookside (Part D) ",#1933,0.17,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.17,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Loaders (Part B) ",#1936,0.5,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
"Adney Loaders (Part B) ",#1936,0.5,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.50,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Loaders (Part C) ",#1937,0.02,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.02,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Loaders (Part D) ",#1938,0.16,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.16,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Corner (Part B) ",#2150,3.8,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
"Adney Corner (Part C) ",#2151,0.21,Crop Season Start Marker,01/09/2006,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Adney Corner (Part B) ",#2150,3.8,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,1.93,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Corner (Part C) ",#2151,0.21,Activate cropping,01/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.21,0.00,0.00,0.00,Hctr,0.00,,,,,,
Four Gates (Part B),#1631,0.45,Activate cropping,02/09/2006,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.45,0.00,0.00,0.00,Hctr,0.00,,,,,,
Birds Nest (Part A),#1614,8.16,Vaderstad Drill,09/09/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,7.71,0.00,0.00,0.00,Hctr,0.00,Rye drilled at 120kg/ha,,,,,
Liberty Field,SJ7020 5816,3.67,Butisan S (metazachlor),11/09/2006,Chemicals,Herbicide,Butisan S (metazachlor),,Sean Lewis,3.67,1.25,28.81,4.59,Litres,105.73,Vol. cereals GS 1.10,Broken Cloud,1m/s,16:00,16:30,1.1
Large Pitt,SJ7119 9756,3.91,Spartan,11/09/2006,Chemicals,Adjuvant,Spartan,,Sean Lewis,3.91,0.20,4.98,0.78,Litres,19.47,adjuvant,Broken Cloud,1m/s s,17:00,18:30,1.1
Large Pitt,SJ7119 9756,3.91,Shogun propaquizafop,11/09/2006,Chemicals,Herbicide,Shogun propaquizafop,,Sean Lewis,3.91,0.35,9.63,1.37,Litres,37.65,Vol. cereals GS 1.10,Broken Cloud,1m/s s,17:00,18:30,1.1
Liberty Field,SJ7020 5816,3.67,Shogun propaquizafop,11/09/2006,Chemicals,Herbicide,Shogun propaquizafop,,Sean Lewis,3.67,0.35,9.63,1.29,Litres,35.34,Vol cereals GS 1.10,Broken Cloud,1m/s,16:00,16:30,1.1
"Adney Corner (Part A) ",#2148,12.4,Katamaran metazachlor+quinmera,11/09/2006,Chemicals,Herbicide,Katamaran metazachlor+quinmera,,Sean Lewis,14.70,2.00,48.42,29.40,Litres,711.83,GS 1.1,Broken Cloud,1m/s s,17:00,18:06,1.1
"Adney Corner (Part A) ",#2148,12.4,Shogun propaquizafop,11/09/2006,Chemicals,Herbicide,Shogun propaquizafop,,Sean Lewis,14.70,0.35,9.63,5.15,Litres,141.49,GS 1.1,Broken Cloud,1m/s s,17:00,18:06,1.1
Near Cot Leasow,SJ7120 6850,4.79,Glyphosate,12/09/2006,Chemicals,Herbicide,Glyphosate,,Sean Lewis,4.79,5.00,8.75,23.95,Litres,41.91,Grassland destruction,Broken Cloud,1m/s w,19:59,20:28,
Middle Leasow,SJ7120 5163,2.01,Glyphosate,12/09/2006,Chemicals,Herbicide,Glyphosate,,Sean Lewis,2.01,2.49,4.35,5.00,Litres,8.75,grassland destruction,Broken Cloud,1m/s w,19:35,19:56,
Large Marsh,SJ7120,8.51,Glyphosate,12/09/2006,Chemicals,Herbicide,Glyphosate,,Sean Lewis,8.51,5.00,8.75,42.55,Litres,74.46,Grassland destruction,Broken Cloud,1m/s w,18:00,19:28,
Cote Ussock (Part B),#1605,0.2,Activate cropping,13/09/2006,Events/Actions,Arable Observations,Activate cropping,,Sean Lewis,0.20,0.00,0.00,0.00,Hctr,0.00,,,,,,
Near Broad Meadow (Part B),#1607,0.2,Activate cropping,13/09/2006,Events/Actions,Arable Observations,Activate cropping,,Sean Lewis,0.20,0.00,0.00,0.00,Hctr,0.00,,,,,,
Far Broad Meadow (Part B),#1609,0.26,Activate cropping,13/09/2006,Events/Actions,Arable Observations,Activate cropping,,Sean Lewis,0.26,0.00,0.00,0.00,Hctr,0.00,,,,,,
Four Gates (Part C),#1632,0.45,Activate cropping,15/09/2006,Events/Actions,Arable Observations,Activate cropping,,Sean Lewis,0.45,0.00,0.00,0.00,Hctr,0.00,,,,,,
Birds Nest (Part D),#1617,4.07,Ploughed & Pressed,15/09/2006,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,David Miller,1.01,0.00,0.00,0.00,Hctr,0.00,cerc+niab trial areas,,,,,
"Buttery Hill (Part C) ",#2174,1,Green Star Field measurement,15/09/2006,Events/Actions,Arable Physical Actions,Green Star Field measurement,,Sean Lewis,1.00,0.00,0.00,0.00,Hctr,0.00,0.86,,,,,
"Horse Foxhole (Part A) ",#1953,5.25,Ploughed & Pressed,15/09/2006,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,Unknown,5.62,0.00,0.00,0.00,Hctr,0.00,incl cerc+niab trial areas,,,,,
"Adney Brookside (Part A) ",#1930,4.63,Vaderstad Drill,20/09/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,4.63,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Brookside (Part A) ",#1930,4.63,Robigus C2 Wheat,20/09/2006,Seeds,Wheat,Robigus C2 Wheat,,Sean Lewis,4.63,121.00,26.50,560.23,Kgs,122.69,275 seeds/ms target,,,,,
"Adney Middle Field (Part A) ",#1939,3.05,Vaderstad Drill,20/09/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,3.05,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Middle Field (Part A) ",#1939,3.05,Robigus C2 Wheat,20/09/2006,Seeds,Wheat,Robigus C2 Wheat,,Sean Lewis,3.05,121.00,26.50,369.05,Kgs,80.82,275 seeds/ms target,,,,,
"Adney Loaders (Part A) ",#1935,3.58,Vaderstad Drill,20/09/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,3.58,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Loaders (Part A) ",#1935,3.58,Robigus C2 Wheat,20/09/2006,Seeds,Wheat,Robigus C2 Wheat,,Sean Lewis,3.58,121.00,26.50,433.18,Kgs,94.87,275 seeds/ms target,,,,,
"Tibberton 2 (Part A) ",#1960,2.72,Round Up Klik,22/09/2006,Chemicals,Herbicide,Round Up Klik,,Sean Lewis,2.72,1.50,6.37,4.08,Litres,17.34,,Cloudy,1.7 m/s,10:00,10:15,
"Tibberton 3 (Part A) ",#1962,3.07,Round Up Klik,22/09/2006,Chemicals,Herbicide,Round Up Klik,,Sean Lewis,3.07,1.50,6.37,4.61,Litres,19.57,,Cloudy,1.7 m/s s,10:48,11:09,
"Tibberton 5 (Part A) ",#1964,2.62,Round Up Klik,22/09/2006,Chemicals,Herbicide,Round Up Klik,,Sean Lewis,2.62,0.57,2.44,1.50,Litres,6.38,,Cloudy,1.7 m/s s,10:48,11:09,
"Tibberton 7 (Part A) ",#1967,2.99,Round Up Klik,22/09/2006,Chemicals,Herbicide,Round Up Klik,,Sean Lewis,2.99,1.50,6.37,4.49,Litres,19.06,,Cloudy,1.7 m/s s,11:10,11:30,
"Adney Brookside (Part A) ",#1930,4.63,Decoy Wetex,02/10/2006,Chemicals,Slug pellets,Decoy Wetex,,Sean Lewis,4.63,5.00,18.00,23.15,Kgs,83.34,Slug damage & prevention,clear sunny,1.5m/s sw,13:00,13:35,pre em
"Adney Middle Field (Part A) ",#1939,3.05,Decoy Wetex,02/10/2006,Chemicals,Slug pellets,Decoy Wetex,,Sean Lewis,3.05,5.00,18.00,15.25,Kgs,54.90,Slug damage & prevention,Clear & Sunny,1.5 m/s sw,14:04,14:30,Pre emergence
"Adney Loaders (Part A) ",#1935,3.58,Decoy Wetex,02/10/2006,Chemicals,Slug pellets,Decoy Wetex,,Sean Lewis,3.58,5.00,18.00,17.90,Kgs,64.44,Slug damage & prevention,clear sunny,1.5m/s sw,13:36,14:03,pre em
"Tibberton 2 (Part A) ",#1960,2.72,Vaderstad Drill,04/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,2.72,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 2 (Part A) ",#1960,2.72,Tremplin,04/10/2006,Seeds,Triticale,Tremplin,,Sean Lewis,2.72,135.00,46.57,367.20,Kgs,126.68,,,,,,
"Tibberton 3 (Part A) ",#1962,3.07,Vaderstad Drill,04/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,3.07,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 3 (Part A) ",#1962,3.07,Tremplin,04/10/2006,Seeds,Triticale,Tremplin,,Sean Lewis,3.07,135.00,46.58,414.45,Kgs,142.99,,,,,,
"Tibberton 5 (Part A) ",#1964,2.62,Vaderstad Drill,04/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,2.50,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 5 (Part A) ",#1964,2.62,Tremplin,04/10/2006,Seeds,Triticale,Tremplin,,Sean Lewis,2.62,128.82,44.44,337.50,Kgs,116.44,,,,,,
"Tibberton 7 (Part A) ",#1967,2.99,Vaderstad Drill,04/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,2.99,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Tibberton 7 (Part A) ",#1967,2.99,Tremplin,04/10/2006,Seeds,Triticale,Tremplin,,Sean Lewis,2.99,135.00,46.58,403.65,Kgs,139.26,,,,,,
"Horse Foxhole (Part A) ",#1953,5.25,Robigus C2 Wheat,05/10/2006,Seeds,Wheat,Robigus C2 Wheat,,Sean Lewis,2.97,135.00,29.57,400.95,Kgs,87.81,300 seeds m/s,,,,,
"Tibberton 2 (Part A) ",#1960,2.72,Decoy Wetex,06/10/2006,Chemicals,Slug pellets,Decoy Wetex,,John Ruscoe,2.72,5.00,18.00,13.60,Kgs,48.96,,Overcast,calm,14:00,14:21,Pre emergence
"Tibberton 3 (Part A) ",#1962,3.07,Decoy Wetex,06/10/2006,Chemicals,Slug pellets,Decoy Wetex,,John Ruscoe,3.07,5.00,18.00,15.35,Kgs,55.26,,Overcast,calm,14:00,14:30,Pre emergence
"Tibberton 5 (Part A) ",#1964,2.62,Decoy Wetex,06/10/2006,Chemicals,Slug pellets,Decoy Wetex,,John Ruscoe,2.62,5.00,18.00,13.10,Kgs,47.16,,Overcast,calm,14:48,15:09,Pre emergence
"Tibberton 7 (Part A) ",#1967,2.99,Decoy Wetex,06/10/2006,Chemicals,Slug pellets,Decoy Wetex,,John Ruscoe,2.99,5.00,18.00,14.95,Kgs,53.82,,Overcast,calm,15:10,15:30,Pre emergence
Large Pitt,SJ7119 9756,3.91,Caramba metconazole,10/10/2006,Chemicals,Fungicides,Caramba metconazole,,Sean Lewis,3.91,0.50,15.30,1.96,Litres,59.82,Canopy manipulation & fung,Overcast,1.5m/s,16:31,17:30,1.5
Large Pitt,SJ7119 9756,3.91,"Nutri-Phite Excel ",10/10/2006,Chemicals,Chemicals,"Nutri-Phite Excel ",,Sean Lewis,3.91,0.40,4.87,1.56,Litres,19.03,Plant nutrition,Overcast,1.5m/s,16:31,17:30,1.5
Large Pitt,SJ7119 9756,3.91,Verdi-Crop Boron Liquid 150,10/10/2006,Chemicals,Chemicals,Verdi-Crop Boron Liquid 150,,Sean Lewis,3.91,1.00,3.50,3.91,Litres,13.69,Plant nutrition,Overcast,1.5m/s,16:31,17:30,1.5
Middle Leasow,SJ7120 5163,2.01,Vaderstad Drill,12/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,John Ruscoe,2.01,0.00,0.00,0.00,Hctr,0.00,headlands combi drilled,,,,,
Near Cot Leasow,SJ7120 6850,4.79,Vaderstad Drill,12/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,John Ruscoe,4.79,0.00,0.00,0.00,Hctr,0.00,headlands combi drilled,,,,,
Large Marsh,SJ7120,8.51,Vaderstad Drill,12/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,John Ruscoe,8.51,0.00,0.00,0.00,Hctr,0.00,headlands combi drilled,,,,,
Middle Leasow,SJ7120 5163,2.01,Ploughed & Pressed,12/10/2006,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,John Ruscoe,2.01,0.00,0.00,0.00,Hctr,0.00,,,,,,
Near Cot Leasow,SJ7120 6850,4.79,Ploughed & Pressed,12/10/2006,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,John Ruscoe,4.79,0.00,0.00,0.00,Hctr,0.00,,,,,,
Large Marsh,SJ7120,8.51,Ploughed & Pressed,12/10/2006,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,John Ruscoe,8.51,0.00,0.00,0.00,Hctr,0.00,,,,,,
Middle Leasow,SJ7120 5163,2.01,Robigus C2 Wheat,12/10/2006,Seeds,Wheat,Robigus C2 Wheat,,John Ruscoe,2.01,132.00,28.91,265.32,Kgs,58.11,300 seeds m/s,,,,,
Near Cot Leasow,SJ7120 6850,4.79,Robigus C2 Wheat,12/10/2006,Seeds,Wheat,Robigus C2 Wheat,,John Ruscoe,4.79,132.00,28.91,632.28,Kgs,138.47,300 seeds m/s,,,,,
Large Marsh,SJ7120,8.51,Robigus C2 Wheat,12/10/2006,Seeds,Wheat,Robigus C2 Wheat,,John Ruscoe,8.51,132.00,28.91,1123.32,Kgs,246.01,300 seeds m/s,,,,,
Liberty Field,SJ7020 5816,3.67,Caramba metconazole,14/10/2006,Chemicals,Fungicides,Caramba metconazole,,Sean Lewis,3.67,0.50,15.30,1.84,Litres,56.15,Canopy manipulation & fung,Broken Cloud,1m/s sw,09:00,12:30,1.5
Liberty Field,SJ7020 5816,3.67,"Nutri-Phite Excel ",14/10/2006,Chemicals,Chemicals,"Nutri-Phite Excel ",,Sean Lewis,3.67,0.40,4.87,1.47,Litres,17.87,Plant nutrition,Broken Cloud,1m/s sw,09:00,12:30,1.5
Liberty Field,SJ7020 5816,3.67,Verdi-Crop Boron Liquid 150,14/10/2006,Chemicals,Chemicals,Verdi-Crop Boron Liquid 150,,Sean Lewis,3.67,1.00,3.50,3.67,Litres,12.85,Plant nutrition,Broken Cloud,1m/s sw,09:00,12:30,1.5
First Foxhole,SJ7120 4205,2.12,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,2.20,11.50,0.00,25.30,Tonne,0.00,freshweight,,,,,
Poors Land Field,SJ7019 6595,5.15,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,5.27,11.50,0.00,60.61,Tonne,0.00,freshweight,,,,,
Tibberton 4,SJ6719,4.64,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,4.64,11.50,0.00,53.36,Tonne,0.00,freshweight,,,,,
"Pipe Strine (Part A) ",#2191,1.41,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,1.45,11.50,0.00,16.68,Tonne,0.00,freshweight,,,,,
Upperwood Leasow (Part A),#1946,6.4,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,6.30,11.50,0.00,72.45,Tonne,0.00,Freshweight,,,,,
"Gallas Field (Part A) ",#1917,2.45,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,2.02,11.50,0.00,23.23,Tonne,0.00,freshweight,,,,,
"Buttery Hill (Part A) ",#2172,10.98,Harvested Maize (contractor),14/10/2006,Events/Actions,Arable Physical Actions,Harvested Maize (contractor),,Contractor Banks,11.00,11.50,0.00,126.50,Tonne,0.00,freshweight,,,,,
"Horse Foxhole (Part A) ",#1953,5.25,Vaderstad Drill,14/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,2.97,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Adney Corner (Part A) ",#2148,12.4,Caramba metconazole,14/10/2006,Chemicals,Fungicides,Caramba metconazole,,Sean Lewis,14.70,0.50,15.30,7.35,Litres,224.91,Canopy manipulation & fung,Broken Cloud,1m/s sw,09:00,12:30,1.5
"Adney Corner (Part A) ",#2148,12.4,"Nutri-Phite Excel ",14/10/2006,Chemicals,Chemicals,"Nutri-Phite Excel ",,Sean Lewis,14.70,0.40,4.87,5.88,Litres,71.56,Plant nutrition,Broken Cloud,1m/s sw,09:00,12:30,1.5
"Adney Corner (Part A) ",#2148,12.4,Verdi-Crop Boron Liquid 150,14/10/2006,Chemicals,Chemicals,Verdi-Crop Boron Liquid 150,,Sean Lewis,14.70,1.00,3.50,14.70,Litres,51.45,Plant nutrition,Broken Cloud,1m/s sw,09:00,12:30,1.5
First Foxhole,SJ7120 4205,2.12,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Poors Land Field,SJ7019 6595,5.15,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Tibberton 4,SJ6719,4.64,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
"Pipe Strine (Part A) ",#2191,1.41,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Upperwood Leasow (Part A),#1946,6.4,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Gallas Field (Part A) ",#1917,2.45,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Buttery Hill (Part A) ",#2172,10.98,Crop Season Start Marker,15/10/2006,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Tibberton 4,SJ6719,4.64,Vaderstad Drill,16/10/2006,Events/Actions,Arable Physical Actions,Vaderstad Drill,,Sean Lewis,4.64,0.00,0.00,0.00,Hctr,0.00,,,,,,
Tibberton 4,SJ6719,4.64,Subsoiled,16/10/2006,Events/Actions,Arable Physical Actions,Subsoiled,,Sean Lewis,4.64,0.00,0.00,0.00,Hctr,0.00,shallow,,,,,
Tibberton 4,SJ6719,4.64,Terra disced,16/10/2006,Events/Actions,Arable Physical Actions,Terra disced,,Sean Lewis,4.64,0.00,0.00,0.00,Hctr,0.00,,,,,,
Tibberton 4,SJ6719,4.64,Robigus C2 Wheat,16/10/2006,Seeds,Wheat,Robigus C2 Wheat,,Sean Lewis,4.64,135.00,29.56,626.40,Kgs,137.18,300 seeds m/s,,,,,
